"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"6","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",310,-0.484392096405672,-1.78892357005008,1.1729034311481e-06,0.000116104197765505,0.000103227980344143,3466,"tags=48%, list=29%, signal=35%","118510834/118505211/118505466/118505985/118504923/118509252/118512646/118511915/118503439/118504856/118511164/118511601/118506719/118506211/118504747/118512404/118512508/118503159/118512765/118514673/118507251/118514331/118510129/118509540/118510075/118504883/118512852/118507875/118512507/118510679/118506246/118513915/118508166/118511216/118513269/118509682/118505778/118507772/118507705/118512760/118509524/118506611/118509662/118506749/118511816/118505760/118514188/118504492/118507490/118504564/118512209/118507399/118512968/118506326/118517627/118509274/118509691/118508313/118513956/118516473/118509547/118514169/118507127/118510667/118507541/118512524/118513116/118507272/118509644/118508807/118510714/118513813/118505205/118514473/118515257/118516438/118509086/118510794/118510376/118512028/118505710/118517639/118507625/118506880/118510359/118505711/118502453/118503599/118517157/118513696/118505606/118502857/118511240/118508392/118508129/118503879/118506883/118503338/118504550/118509289/118502687/118508117/118517203/118507771/118509200/118509606/118509632/118513810/118512853/118506206/118512988/118517247/118506372/118517661/118503913/118507137/118517334/118507633/118509138/118511899/118516633/118505728/118510168/118516704/118506210/118507617/118505219/118505286/118513930/118517150/118504761/118512400/118502545/118509655/118509676/118509430/118516756/118513502/118510626/118514436/118507678/118514366/118511691/118508967/118506036/118509990/118508314/118514043"
"7","GO:0003676","nucleic acid binding",224,-0.522148902664436,-1.87950136434392,1.46274764021785e-06,0.000117019811217428,0.000104042050198954,1420,"tags=29%, list=12%, signal=26%","118514365/118509210/118513120/118513486/118511085/118511822/118514020/118510038/118503308/118509982/118511994/118510467/118513324/118504786/118516434/118515145/118517729/118509327/118504641/118514437/118511643/118506592/118508418/118508416/118504455/118502383/118503804/118507990/118506375/118509844/118503777/118514855/118504363/118505349/118510042/118505467/118516913/118502372/118504343/118508957/118509629/118515170/118515076/118502446/118511603/118512363/118507156/118503941/118510506/118504429/118502373/118502429/118508058/118503311/118506863/118513756/118503261/118508955/118515162/118504451/118502425/118502444/118512099/118506018"
"10","GO:0005506","iron ion binding",139,0.441851240727955,1.92405154643044,3.0303860416034e-05,0.00154274198481628,0.00137164841883101,2374,"tags=50%, list=20%, signal=40%","118512064/118512341/118502460/118506832/118512203/118507486/118503800/118504415/118506833/118512771/118516848/118503065/118504895/118517131/118506189/118504599/118502409/118504411/118506814/118504413/118504808/118513644/118505440/118510076/118506666/118504899/118507749/118510036/118517133/118512764/118506914/118513118/118505441/118507758/118504412/118504477/118506462/118506660/118516383/118511197/118506916/118502459/118514377/118504593/118511291/118511290/118514651/118510814/118504406/118504315/118504408/118513634/118506913/118511287/118509122/118513031/118514075/118507084/118509953/118513186/118517143/118514074/118504568/118514650/118506959/118510054/118513814/118513640/118510078"
"11","GO:0005829","cytosol",356,0.329305914037773,1.58768560939798,2.8949317827451e-05,0.00154274198481628,0.00137164841883101,2913,"tags=29%, list=24%, signal=22%","118515244/118504658/118504619/118508283/118503252/118502903/118505036/118510033/118511697/118502863/118512086/118502902/118516206/118506122/118505072/118513213/118508267/118513440/118504598/118510327/118505423/118504372/118507204/118517126/118512702/118504345/118507785/118510198/118511930/118507414/118512840/118506449/118513265/118509419/118510994/118510768/118514105/118505614/118510725/118502961/118502573/118506082/118508206/118514385/118508110/118505593/118505701/118508287/118503909/118511645/118511012/118506014/118504233/118509366/118511116/118509758/118513710/118506487/118509278/118504103/118505715/118514211/118517337/118504977/118509695/118504085/118514145/118505599/118506692/118511386/118503770/118507976/118504782/118507527/118512095/118510861/118510765/118517286/118511720/118514265/118503862/118511192/118502531/118508269/118509840/118505016/118506882/118510561/118508488/118506377/118515258/118502901/118514340/118503769/118504258/118512564/118510705/118509696/118507061/118502682/118505655/118505241"
"12","GO:0015074","DNA integration",70,-0.622710052690793,-1.97400411182128,8.04536916883139e-05,0.00375450561212131,0.00333812247092741,1420,"tags=64%, list=12%, signal=57%","118502349/118503875/118503306/118513244/118503838/118514016/118516598/118507514/118511401/118511538/118514365/118509210/118513120/118511085/118514020/118509982/118511994/118513324/118504786/118516434/118515145/118517729/118509327/118506592/118507990/118506375/118509844/118504363/118505467/118516913/118502372/118509629/118515170/118515076/118502446/118511603/118507156/118503941/118510506/118508058/118503311/118506863/118508955/118504451/118506018"
"13","GO:0006099","tricarboxylic acid cycle",21,0.739188020118568,2.17575960136809,0.000685210281324701,0.029516750580141,0.0262432763616667,3111,"tags=95%, list=26%, signal=71%","118517501/118507364/118503432/118506917/118509527/118506617/118504114/118510198/118506636/118507622/118505786/118505075/118504576/118512379/118514145/118513950/118503939/118514492/118510705/118511080"
"14","GO:0022627","cytosolic small ribosomal subunit",31,0.638379560856789,2.09470437830648,0.000907567998092517,0.0363027199237007,0.0322766663983278,3663,"tags=94%, list=30%, signal=65%","118506609/118503753/118513084/118506106/118510167/118510781/118505175/118507208/118506789/118508369/118504862/118505608/118507335/118503991/118502896/118509763/118507580/118513236/118506277/118506104/118506957/118511352/118517440/118509145/118505685/118505187/118508554/118510630/118502653"
