"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"13","GO:0016311","dephosphorylation","4/195","24/9793",0.166666666666667,8.37008547008547,5.15247301217417,0.00118519745648226,0.0125813268457348,0.00969270794370107,"118504913/118505202/118509032/118517600",4
"20","GO:0005777","peroxisome","4/195","39/9793",0.102564102564103,5.1508218277449,3.70201057531991,0.00727403828040028,0.0456443526904422,0.03516460428478,"118503567/118505662/118512343/118512908",4
