"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"18","GO:0022627","cytosolic small ribosomal subunit","11/1024","31/9793",0.354838709677419,3.39349168346774,4.56093637352559,0.00018187582448969,0.00380236373916663,0.00346468612163966,"118503753/118504862/118505175/118506106/118506609/118506789/118507208/118508369/118510167/118510781/118513084",11
"19","GO:0032367","intracellular cholesterol transport","6/1024","10/9793",0.6,5.7380859375,5.12244792965768,0.000186679356703271,0.00380236373916663,0.00346468612163966,"118504389/118504390/118504395/118504397/118507360/118510253",6
"20","GO:0005811","lipid droplet","8/1024","18/9793",0.444444444444444,4.25043402777778,4.71660895303672,0.000233008760855194,0.00418802793573705,0.00381610052623939,"118503171/118504498/118504969/118505751/118507060/118507879/118512702/118517023",8
"22","GO:0003735","structural constituent of ribosome","30/1024","147/9793",0.204081632653061,1.95172991071429,3.97291618191665,0.00023807910745792,0.00418802793573705,0.00381610052623939,"118503071/118503195/118503753/118504700/118504862/118505175/118506106/118506609/118506789/118507087/118507208/118507661/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513214/118513979/118514053/118514426/118517495",30
"23","GO:0006631","fatty acid metabolic process","6/1024","12/9793",0.5,4.78173828125,4.47920675093833,0.000682666591914544,0.0114866074378665,0.0104665129652802,"118503962/118507758/118510134/118511089/118512992/118516924",6
"24","GO:0051539","4 iron, 4 sulfur cluster binding","7/1024","17/9793",0.411764705882353,3.93790211397059,4.14277962509677,0.00101298375076729,0.0163343629811226,0.014883752478379,"118506083/118510198/118510483/118511197/118511955/118513311/118516530",7
"25","GO:0070006","metalloaminopeptidase activity","10/1024","32/9793",0.3125,2.98858642578125,3.8501969799773,0.00112152033101245,0.0173611347240727,0.0158193394058598,"118502866/118502919/118502924/118506173/118506638/118506639/118512315/118512318/118513317/118513372",10
"26","GO:0006635","fatty acid beta-oxidation","6/1024","14/9793",0.428571428571429,4.0986328125,3.96458337903358,0.00184550728508961,0.0274696661280645,0.0250301595346161,"118503985/118504158/118505581/118507410/118509920/118516367",6
"27","GO:0005751","GO:0005751","5/1024","10/9793",0.5,4.78173828125,4.08851964376095,0.00198864572324101,0.0285039220331211,0.0259725659760521,"118502751/118504238/118508472/118511755/118511761",5
"28","GO:0032934","sterol binding","6/1024","15/9793",0.4,3.825390625,3.74205148575268,0.00280619057123528,0.0387855625381447,0.0353411218557826,"118503709/118504395/118504397/118506560/118507360/118510253",6
"29","GO:0042277","peptide binding","8/1024","25/9793",0.32,3.0603125,3.52460880623215,0.00295987938567031,0.0394990800777383,0.0359912738366444,"118504544/118506173/118506638/118506639/118512315/118512318/118513317/118513372",8
